city,lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
okha,53.57,142.95,27.46,98.0,99.0,10.69,RU,1587842242.0
zhireken,52.82,117.31,32.45,62.0,1.0,2.89,RU,1587842242.0
jalingo,8.88,11.37,81.16,64.0,38.0,6.53,NG,1587842242.0
srivardhan,18.03,73.02,79.84,79.0,14.0,5.95,IN,1587842243.0
carnarvon,-24.87,113.63,76.6,59.0,91.0,14.5,AU,1587842243.0
san andres itzapa,14.62,-90.84,82.4,45.0,75.0,11.41,GT,1587842243.0
severo-kurilsk,50.68,156.12,31.33,94.0,71.0,12.35,RU,1587842243.0
bengkulu,-3.8,102.27,78.76,81.0,99.0,3.85,ID,1587842243.0
marawi,8.0,124.29,73.99,88.0,96.0,7.0,PH,1587842243.0
dunedin,-45.87,170.5,49.55,81.0,25.0,1.01,NZ,1587842243.0
leningradskiy,69.38,178.42,19.47,92.0,99.0,7.78,RU,1587842244.0
zarichne,51.81,26.13,48.02,77.0,90.0,12.1,UA,1587842244.0
ribeira grande,38.52,-28.7,60.8,59.0,20.0,17.22,PT,1587842244.0
staszow,50.56,21.17,47.32,60.0,69.0,4.0,PL,1587842244.0
bluff,-46.6,168.33,51.01,68.0,85.0,5.99,NZ,1587842244.0
ialibu,-6.28,143.99,57.65,55.0,100.0,1.97,PG,1587842245.0
dalmau,26.07,81.03,85.01,32.0,63.0,7.07,IN,1587842245.0
verkhnyaya inta,65.98,60.31,26.06,92.0,100.0,10.74,RU,1587842245.0
sangar,63.92,127.47,24.78,97.0,0.0,1.66,RU,1587842245.0
svetlogorsk,52.63,29.73,48.09,76.0,99.0,12.8,BY,1587842245.0
kouango,4.99,19.96,84.54,48.0,27.0,2.3,CF,1587842246.0
port alfred,-33.59,26.89,62.01,93.0,31.0,10.36,ZA,1587842246.0
ketchikan,55.34,-131.65,48.2,81.0,90.0,32.21,US,1587842246.0
hofn,64.25,-15.21,40.73,77.0,61.0,18.41,IS,1587842246.0
paracuru,-3.41,-39.03,80.01,79.0,91.0,1.99,BR,1587842246.0
puerto ayora,-0.74,-90.35,84.09,62.0,20.0,20.8,EC,1587842247.0
cap malheureux,-19.98,57.61,77.0,90.0,0.0,3.0,MU,1587842247.0
banjar,-8.19,114.97,82.4,94.0,99.0,11.41,ID,1587842247.0
boone,39.03,-92.33,53.31,76.0,90.0,17.22,US,1587842247.0
tynda,55.17,124.72,28.47,83.0,0.0,3.02,RU,1587842247.0
babu,24.42,111.52,63.75,72.0,100.0,4.32,CN,1587842248.0
chapais,49.78,-74.85,37.4,23.0,1.0,12.75,CA,1587842248.0
grand-lahou,5.14,-5.02,82.76,81.0,85.0,12.8,CI,1587842248.0
kudahuvadhoo,2.67,72.89,85.01,70.0,67.0,6.44,MV,1587842248.0
yellowknife,62.46,-114.35,13.95,56.0,90.0,13.87,CA,1587842248.0
airai,-8.93,125.41,59.38,67.0,35.0,3.58,TL,1587842248.0
ouagadougou,12.36,-1.54,100.4,27.0,82.0,5.82,BF,1587842249.0
cidreira,-30.18,-50.21,78.96,52.0,37.0,3.51,BR,1587842249.0
tuatapere,-46.13,167.68,51.01,68.0,82.0,5.99,NZ,1587842250.0
hamada,34.88,132.08,53.01,29.0,46.0,3.0,JP,1587842250.0
fort saint james,54.43,-124.25,46.38,55.0,100.0,6.44,CA,1587842250.0
port keats,-14.25,129.55,80.22,51.0,0.0,5.82,AU,1587842251.0
victoria,22.29,114.16,70.11,78.0,40.0,4.7,HK,1587842140.0
port-gentil,-0.72,8.78,75.2,100.0,20.0,4.7,GA,1587842251.0
nalut,30.33,10.85,76.84,21.0,65.0,17.36,LY,1587842251.0
kaeo,-35.1,173.78,53.98,93.0,8.0,5.01,NZ,1587842251.0
college,64.86,-147.8,29.19,33.0,20.0,12.75,US,1587842252.0
pemangkat,1.17,108.97,79.2,82.0,93.0,3.49,ID,1587842252.0
baykit,61.67,96.37,34.63,81.0,100.0,4.14,RU,1587842252.0
tasiilaq,65.61,-37.64,39.2,48.0,20.0,20.8,GL,1587842253.0
muros,42.78,-9.06,58.87,83.0,76.0,10.0,ES,1587842253.0
mayo,38.89,-76.51,62.01,77.0,1.0,4.7,US,1587842253.0
rybachiy,48.71,44.74,55.2,37.0,58.0,20.13,RU,1587842253.0
longjiang,47.33,123.18,38.17,71.0,98.0,5.32,CN,1587842253.0
caravelas,-17.71,-39.25,79.47,77.0,25.0,15.64,BR,1587842254.0
auxerre,47.8,3.57,58.53,56.0,36.0,8.81,FR,1587842254.0
ostrovnoy,68.05,39.51,30.7,97.0,100.0,10.45,RU,1587842254.0
rawson,-43.3,-65.1,55.4,76.0,75.0,13.87,AR,1587842254.0
pucallpa,-8.38,-74.55,91.4,55.0,75.0,4.7,PE,1587842255.0
karratha,-20.74,116.85,88.02,43.0,32.0,13.6,AU,1587842255.0
nelson bay,-32.72,152.15,56.23,100.0,0.0,9.17,AU,1587842255.0
bulaevo,54.91,70.44,44.47,54.0,0.0,8.95,KZ,1587842255.0
coquimbo,-29.95,-71.34,67.06,58.0,15.0,5.84,CL,1587842255.0
mnogovershinnyy,53.94,139.92,21.74,96.0,100.0,4.56,RU,1587842256.0
rocha,-34.48,-54.33,70.81,79.0,100.0,10.02,UY,1587842186.0
tawau,4.25,117.89,78.31,94.0,20.0,2.89,MY,1587842256.0
ziro,27.63,93.83,48.49,56.0,99.0,2.26,IN,1587842256.0
ayagoz,47.97,80.44,48.9,58.0,92.0,17.34,KZ,1587842256.0
hargeysa,9.56,44.06,73.9,53.0,96.0,5.66,SO,1587842256.0
dabeiba,7.0,-76.27,86.77,53.0,55.0,2.13,CO,1587842257.0
faya,18.39,42.45,68.9,68.0,8.0,4.09,SA,1587842257.0
noyabrsk,63.2,75.45,29.39,90.0,60.0,12.44,RU,1587842257.0
geraldton,-28.77,114.6,64.4,82.0,100.0,8.05,AU,1587842257.0
vagay,57.94,69.02,40.71,64.0,32.0,10.76,RU,1587842257.0
nanortalik,60.14,-45.24,35.17,85.0,32.0,10.27,GL,1587842258.0
dudinka,69.41,86.18,28.4,79.0,100.0,31.32,RU,1587842258.0
port augusta,-32.5,137.77,59.9,100.0,75.0,5.82,AU,1587842258.0
punta cardon,11.66,-70.22,83.61,66.0,4.0,29.35,VE,1587842258.0
xingyi,24.19,102.82,46.27,53.0,100.0,5.28,CN,1587842259.0
klaksvik,62.23,-6.59,42.8,87.0,100.0,8.05,FO,1587842259.0
krupanj,44.37,19.36,59.0,38.0,27.0,3.36,RS,1587842259.0
anaconda,46.13,-112.94,55.4,28.0,1.0,6.93,US,1587842259.0
fairbanks,64.84,-147.72,29.39,30.0,1.0,12.75,US,1587842078.0
kuloy,61.03,42.49,27.61,94.0,36.0,5.19,RU,1587842259.0
slave lake,55.28,-114.77,62.6,21.0,1.0,11.41,CA,1587842260.0
chancay,-11.57,-77.27,77.0,57.0,3.0,8.05,PE,1587842260.0
saint-philippe,-21.36,55.77,72.91,88.0,8.0,4.7,RE,1587842260.0
kodinsk,58.69,99.18,52.45,68.0,100.0,8.86,RU,1587842260.0
trairi,-3.28,-39.27,83.57,76.0,83.0,7.38,BR,1587842191.0
norman wells,65.28,-126.83,10.4,46.0,20.0,9.17,CA,1587842261.0
castro,-24.79,-50.01,77.7,36.0,11.0,4.68,BR,1587842261.0
dingle,11.0,122.67,79.41,84.0,9.0,8.41,PH,1587842261.0
berlevag,70.86,29.09,33.3,90.0,100.0,26.96,NO,1587842262.0
lusaka,-15.41,28.29,62.6,77.0,90.0,4.7,ZM,1587842262.0
mahebourg,-20.41,57.7,75.2,94.0,40.0,3.36,MU,1587842262.0
kedrovyy,56.17,91.82,50.0,71.0,98.0,8.95,RU,1587842262.0
emba,48.83,58.14,47.55,45.0,0.0,9.01,KZ,1587842263.0
navrongo,10.9,-1.09,103.01,20.0,28.0,0.38,GH,1587842263.0
vila franca do campo,37.72,-25.43,62.6,77.0,75.0,13.87,PT,1587842263.0
provideniya,64.38,-173.3,21.72,90.0,0.0,2.57,RU,1587842263.0
kirakira,-10.45,161.92,79.79,83.0,64.0,5.48,SB,1587842264.0
jhelum,32.93,73.73,81.21,31.0,74.0,3.27,PK,1587842198.0
husavik,66.04,-17.34,41.0,65.0,75.0,18.34,IS,1587842264.0
petropavlovsk-kamchatskiy,53.05,158.65,32.0,93.0,98.0,2.24,RU,1587842264.0
abong mbang,3.98,13.18,77.11,53.0,53.0,1.14,CM,1587842265.0
sawtell,-30.38,153.1,63.41,77.0,0.0,9.17,AU,1587841972.0
san lawrenz,36.06,14.2,61.66,93.0,65.0,4.7,MT,1587842265.0
salekhard,66.53,66.6,19.96,95.0,35.0,8.32,RU,1587842265.0
inhambane,-23.86,35.38,73.4,83.0,20.0,8.66,MZ,1587842266.0
alofi,-19.06,-169.92,71.6,100.0,69.0,1.12,NU,1587842266.0
haines junction,60.75,-137.51,31.93,70.0,97.0,5.3,CA,1587842266.0
sept-iles,50.2,-66.38,41.0,30.0,20.0,17.22,CA,1587842026.0
sehithwa,-20.47,22.72,75.29,26.0,52.0,4.59,BW,1587842266.0
jumla,29.27,82.18,48.0,33.0,91.0,2.17,NP,1587842267.0
esperance,-33.87,121.9,53.6,93.0,90.0,9.46,AU,1587842267.0
enshi,30.3,109.48,57.61,60.0,94.0,2.51,CN,1587842267.0
floro,61.6,5.03,48.2,70.0,24.0,17.22,NO,1587842037.0
port elizabeth,-33.92,25.57,64.4,77.0,11.0,6.93,ZA,1587842228.0
tezu,27.92,96.17,66.56,64.0,83.0,3.11,IN,1587842268.0
upernavik,72.79,-56.15,34.52,85.0,0.0,2.89,GL,1587842268.0
katherine,-14.47,132.27,73.4,69.0,40.0,4.7,AU,1587842268.0
puerto carreno,6.19,-67.49,95.0,39.0,40.0,10.29,CO,1587842268.0
kodiak,57.79,-152.41,42.8,87.0,90.0,10.29,US,1587842268.0
pangnirtung,66.15,-65.71,32.0,83.0,90.0,5.82,CA,1587842269.0
fort oglethorpe,34.95,-85.26,68.45,77.0,75.0,13.71,US,1587842269.0
bubaque,11.28,-15.83,78.3,68.0,91.0,14.23,GW,1587842269.0
vilyuysk,63.76,121.62,32.86,90.0,89.0,8.52,RU,1587842269.0
north bend,43.41,-124.22,57.63,93.0,90.0,9.17,US,1587842136.0
saint anthony,45.02,-93.22,67.68,37.0,1.0,4.7,US,1587842269.0
lavrentiya,65.58,-171.0,20.8,88.0,1.0,1.45,RU,1587842270.0
itaguai,-22.85,-43.78,84.2,54.0,1.0,11.41,BR,1587842192.0
nome,64.5,-165.41,33.8,59.0,1.0,8.05,US,1587842270.0
dauphin,51.15,-100.05,48.25,62.0,98.0,4.21,CA,1587842270.0
bonwapitse,-23.08,26.7,72.46,22.0,90.0,5.59,BW,1587842270.0
hambantota,6.12,81.12,77.0,100.0,40.0,3.09,LK,1587842270.0
juneau,58.3,-134.42,42.8,93.0,75.0,3.36,US,1587842271.0
meadow lake,34.8,-106.54,67.37,18.0,1.0,8.05,US,1587842271.0
daru,-9.08,143.21,79.79,86.0,78.0,11.23,PG,1587842271.0
ahuimanu,21.44,-157.84,76.3,61.0,1.0,12.75,US,1587842271.0
isangel,-19.55,169.27,75.78,73.0,99.0,14.88,VU,1587842271.0
krutinka,56.01,71.51,40.1,64.0,0.0,10.51,RU,1587842272.0
nantucket,41.28,-70.1,53.6,37.0,1.0,11.41,US,1587842272.0
vostok,46.49,135.88,24.1,93.0,97.0,1.7,RU,1587842273.0
erzurum,40.0,41.5,39.2,86.0,75.0,5.82,TR,1587842247.0
porangatu,-13.44,-49.15,83.68,61.0,8.0,4.38,BR,1587842273.0
beloha,-25.17,45.05,70.92,83.0,31.0,4.38,MG,1587842273.0
morena,26.5,78.0,86.45,29.0,34.0,8.01,IN,1587842228.0
san quintin,30.48,-115.95,76.28,46.0,0.0,6.22,MX,1587842119.0
banda aceh,5.56,95.32,79.84,81.0,100.0,5.97,ID,1587842274.0
ponta do sol,32.67,-17.1,61.63,63.0,20.0,8.05,PT,1587842274.0
qeshm,26.96,56.27,85.17,31.0,0.0,4.7,IR,1587842274.0
sorland,67.67,12.69,38.28,74.0,72.0,18.19,NO,1587842274.0
uelzen,52.97,10.57,54.07,43.0,95.0,4.7,DE,1587842274.0
somerset west,-34.08,18.82,65.84,82.0,0.0,10.29,ZA,1587842025.0
cairns,-16.92,145.77,75.2,83.0,90.0,10.29,AU,1587842058.0
saint george,37.1,-113.58,77.0,20.0,1.0,8.05,US,1587842014.0
chagoda,59.16,35.33,30.27,91.0,67.0,4.25,RU,1587842275.0
jovellar,13.07,123.6,78.46,84.0,4.0,9.26,PH,1587842275.0
touros,-5.2,-35.46,78.8,88.0,40.0,3.36,BR,1587842275.0
barwadih,23.83,84.12,80.35,32.0,44.0,2.77,IN,1587842276.0
grand gaube,-20.01,57.66,77.0,90.0,1.0,3.0,MU,1587842276.0
zalesovo,53.99,84.74,45.55,72.0,100.0,2.82,RU,1587842276.0
rafaela,-31.25,-61.49,78.01,70.0,89.0,4.0,AR,1587842276.0
soure,-0.72,-48.52,82.49,77.0,13.0,3.87,BR,1587842276.0
roald,62.58,6.13,42.64,81.0,83.0,5.82,NO,1587842277.0
tilichiki,60.47,166.1,11.17,92.0,2.0,4.85,RU,1587842277.0
raton,36.9,-104.44,62.6,25.0,1.0,6.98,US,1587842277.0
iqaluit,63.75,-68.51,32.0,92.0,90.0,6.93,CA,1587842277.0
kilkenny,52.65,-7.25,57.0,72.0,84.0,5.99,IE,1587842277.0
la libertad,-2.23,-80.9,82.4,69.0,34.0,10.29,EC,1587842277.0
levelland,33.59,-102.38,71.28,24.0,75.0,5.82,US,1587842278.0
yakeshi,49.28,120.73,33.48,62.0,43.0,2.98,CN,1587842278.0
santiago,-33.46,-70.65,72.0,99.0,0.0,4.81,CL,1587842260.0
axim,4.87,-2.24,82.06,80.0,80.0,11.32,GH,1587842101.0
alta floresta,-9.88,-56.09,89.6,62.0,40.0,4.7,BR,1587842278.0
miyako,39.64,141.95,46.17,77.0,0.0,12.03,JP,1587842278.0
tiksi,71.69,128.87,33.15,91.0,100.0,15.66,RU,1587842279.0
preston,53.77,-2.72,59.67,71.0,12.0,9.17,GB,1587842279.0
